QueryText,KccAns
asked about the control of rust,recommended to spray copperoxychloride 3gmlit
asked about the seed treatment,recommended to treat the seed with carbendazim  1gkg seed
asked about the seed treatment,recommended to treat the seed with carbendazim  1gkg seed
asked about the control of tobaccocaterpillar,recommended to spray endosulfon 2mllit
asked about the control of tobaccocaterpillar,recommended to spray endosulfon 2mllit
asked about the control of thrips,recommended to spray fipronil 25mllit
asked about the control of leaf roller,recommended to spray acephate 15 grlit
asked about the sowing season of paddy in prakasham,recommended to raise in months of nov-march
asked about the sowing season of paddy in ananthapur,recommended to raise in months of nov-march
asked about the control of leaf roller,recommended to spray acephate 15 grlit
asked about the control of thrips,recommended to spray fipronil 25mllit
asked about the control of anthracnose,recommended to spray copper oxychloride 3 grlit
asked about the control of citrus canker,recommended to spray streptocyclin 1g blitox30g to be mixed in 10lit of water
asked about the control of thrips,recommended to spray acephate  15glit of water
asked about varieties,informmed to that varieties are csh-5913
asked about varieties,informmed to that varieties are csh-5913
asked about the control of anthracnose,recommended to spray copper oxychloride 3 grlit
asked about the control of thrps,recommended to spray acephate  15glit of water
asked about the control of citrus canker,recommended to spray streptocyclin 1g blitox30g to be mixed in 10lit of water
asked about sowing season,informmed to that sowing season is october to november
asked about sowing season,informmed to that sowing season is october to november
asked about the control of flower drop,recommended to apply naa  dap 1-2
asked about control of sheath rot,recommended for the application of benomil 05gmlit
asked about the weather report of chirala,asked about the weather report of chirala
asked about control of sheath rot,recommended for the application of benomil 05gmlit
asked about the weather report of chirala,informed as per the report provided
asked about the control of thrips,recommended to spray dimethoate 2mllit
asked about the control of mites,recommended to spray dicofol 5mllit
asked about the weather report,given the weather report
asked about the control of weeds,recommended to spray atratap  750gacre
asked about the control of weeds,recommended to spray atratap  750gacre
asked about the weather report,given the weather report
asked about the control of thrips,recommended to spray dimethoate 2mllit
asked about the control of mites,recommended to spray dicofol 5mllit
asked about the control of thrips,recommended to spray carbaryl  3glit of water
asked about the control of mites,recommended to spray pegasus 300 gracre
asked about the control of whiteflies,recommended to spray triazophos 2 mllit
asked about the control of thrips,recommended to spray carbaryl  3glit of water
asked about the control of mites,recommended to spray pegasus 300 gracre
asked about the control of whiteflies,recommended to spray triazophos 2 mllit
asked about the control of bph,recommended for the appliocation of acephate 25mlltr
asked about fertilizer dosage for 1 month crop,recommended for the application of n 30kg  k 12kgacre
asked about the control of bph,recommended to spray bpmc 2 mllit
asked about the control of bph,recommended for the appliocation of acephate 25mlltr
asked about the control of bph,recommended to spray bpmc 2 mllit
asked about fertilizer dosage for 1 month crop,recommended for the application of n 30kg  k 12kgacre
asked about the cercospora leaf spots,recommended to spray copper oxi chloride  3glit of water
asked about the  cercospora leaf spots,recommended to spray copper oxi chloride  3glit of water
asked about the control of sheat rot,recommended to spray benomyl 05gmlit
asked about the control of sheat rot,recommended to spray benomyl 05gmlit
asked about the control of blast,recommended to spray tricyclozole 1 gr2 lit
asked about the control of flower drop,recommended to spray planofix 25ml10lit
asked about control of gram cater piler,recommended for the application of acphate 3oogmacre
asked about control of leaf folder,recommended for the application of chlorpyriphos 2mllit
asked about the control of flower drop,recommended to spray planofix 25ml10lit
asked about control of gram cater piler,recommended for the application of acphate 3oogmacre
asked about the control of blast,recommended to spray tricyclozole 1 gr2 lit
asked about control of weeds,recommed for the application of pedimithalin 10-15litacre
asked about control of leaf folder,recommended for the application of monocrotophos 16mllit
asked about the control of flower drop,recommended for the application of planophix 25ml10 ltr
asked about the control of flower drop,recommended for the application of planophix 25ml10 ltr
asked about the control of bph,recommended to spray monocrotophos 22mllit
asked about the control of weeds,recommended to spray fluchlorolin 45 litacre
asked about control of mealy bugs,recommended for the application ofdichloravas 1mlmalathion 3mllit
asked about the varieties,recommended varieties are nlr-14534449mtu-1010
asked about the control of gram caterpillar,recommended to spray endosulfon 2mllit
asked about the control of mealybug,recommended to apply lindane for every plant
asked about weather report,informmed as per the provided data
asked about control of choanephora blight,recommended for the application of coc 3gmlit
asked about the control of leaf spots,recommended to spray copper oxi chloride  3glit of water
asked about the control of stem borer fly,recommended to spray  endosulphon 2 mllit
asked about the seed treatment,suggested to treat the seed with mancozeb  3gkg seed
asked about the control of rice blast,recommended to spray tricyclozole 1 gr2 lit
asked about the control of thrips,recommended to apply carbaril 600 gracre
asked about the control of sheath rot,commended to spray benomil 1 gr2 lit or carbandazim 1 grlit
asked about the control of blast,recommended to spray tricyclozole 06gmlit
asked about control of stem borer in maize,recommended to apply carbofuron-3g 3kgacre
